date,ticker,sector,open,high,low,close,volume,period_return_pct,ma_short,ma_long,volatility_ann,dollar_volume,range_pct
2020-04-17,XOM,Energy,33.6669,33.8487,29.486,32.7353,164985113.0,0.2085,37.2573,48.9889,68.1549,5400837169.5889,14.7958
2020-04-24,XOM,Energy,30.8645,34.0002,30.0162,33.1216,174547723.0,1.1801,35.9964,48.511,68.6439,5781299862.1168,13.2728
2020-05-01,XOM,Energy,33.0156,36.1135,31.9856,32.6748,156747505.0,-1.349,34.9424,48.0664,68.1941,5121693376.374,12.9055
2020-05-08,XOM,Energy,32.1976,35.712,31.9779,34.9773,121458825.0,7.0467,34.1028,47.6666,70.6758,4248301759.6725,11.6769
2020-05-15,XOM,Energy,35.6129,35.6825,31.0484,32.4386,125651040.0,-7.2581,33.0644,47.227,71.4363,4075943826.144,14.9254
2020-05-22,XOM,Energy,34.2922,36.0146,33.5585,34.4467,107627418.0,6.1905,32.2691,46.8515,73.3496,3707409379.6206,7.3188
2020-05-29,XOM,Energy,35.3271,36.4084,34.269,35.1186,86685821.0,1.9505,31.9735,46.5355,69.1624,3044284673.3706,6.243
2020-06-05,XOM,Energy,35.0028,41.282,34.6012,40.9962,124758298.0,16.7364,32.3485,46.2792,75.1469,5114616136.4676,19.308
2020-06-12,XOM,Energy,42.2628,42.7571,35.4584,36.4316,161970450.0,-11.1342,32.93,45.9383,65.548,5900842646.22,20.5838
2020-06-19,XOM,Energy,35.0259,38.4242,34.5625,35.5125,143669170.0,-2.5228,33.7542,45.533,56.538,5102051399.625,11.1732
2020-06-26,XOM,Energy,35.2886,36.4703,33.5971,33.6898,114875757.0,-5.1326,34.1929,45.1074,54.4639,3870141278.1786,8.5517
2020-07-02,XOM,Energy,33.8366,35.0492,33.3345,34.0451,74671241.0,1.0546,34.5273,44.6957,53.6174,2542189866.9691,5.1437
2020-07-10,XOM,Energy,34.5007,34.8174,31.7435,32.9406,103226249.0,-3.2442,34.5484,44.2417,50.7805,3400334577.8094,9.6837
2020-07-17,XOM,Energy,33.1955,34.8252,32.6163,33.6126,91353192.0,2.04,34.6158,43.8377,50.9002,3070618301.4192,6.7724
2020-07-24,XOM,Energy,33.3731,34.9023,32.8093,33.543,103054794.0,-0.2071,34.6483,43.4348,50.887,3456766955.142,6.3795
2020-07-31,XOM,Energy,33.3886,34.1764,31.5968,32.5004,113905642.0,-3.1082,34.6348,43.0548,51.2574,3701978927.2568,8.1643
2020-08-07,XOM,Energy,32.4772,34.2227,32.0293,33.5508,91403213.0,3.232,34.5251,42.7076,49.5852,3066650918.7204,6.8483
2020-08-14,XOM,Energy,34.646,36.5598,33.4016,34.0238,106798474.0,1.4098,34.6471,42.3932,47.139,3633689919.6812,9.4553
2020-08-21,XOM,Energy,34.0002,34.0159,32.0627,32.299,84121362.0,-5.0694,34.4818,42.0572,46.6868,2717035871.238,6.0919
2020-08-28,XOM,Energy,32.5116,33.4786,30.9561,32.0469,141800837.0,-0.7805,34.2456,41.7022,46.4333,4544277243.2553,8.1486
2020-09-04,XOM,Energy,32.0075,32.0705,30.4402,30.7789,127600841.0,-3.9567,33.4596,41.2881,27.831,3927413525.0549,5.3558
2020-09-11,XOM,Energy,30.1252,30.5899,28.7391,29.062,125602386.0,-5.5782,32.8927,40.8168,21.5283,3650256541.932,6.4401
2020-09-18,XOM,Energy,29.0699,30.0465,28.5186,29.2904,152319988.0,0.7859,32.4141,40.3577,21.9805,4461513376.5152,5.3576
2020-09-25,XOM,Energy,28.6918,29.0147,26.5889,27.282,144188456.0,-6.8569,31.9212,39.8686,23.4607,3933749456.592,9.1232
2020-10-02,XOM,Energy,27.6758,28.2744,25.3682,25.9746,135993628.0,-4.7922,31.3004,39.3899,23.5512,3532380089.8488,11.4561
2020-10-09,XOM,Energy,26.2424,28.3138,26.1243,27.3608,137118514.0,5.3368,30.8712,38.9377,27.5206,3751672237.8512,8.3811
2020-10-16,XOM,Energy,27.2032,27.4631,26.1991,26.8567,102552919.0,-1.8424,30.3515,38.4953,26.5259,2754232979.7073,4.8249
2020-10-23,XOM,Energy,26.8567,27.6286,26.0061,26.904,134566332.0,0.1761,29.8408,38.0305,26.6269,3620372596.128,6.2386
2020-10-30,XOM,Energy,26.4708,26.5968,24.5018,25.6911,186646554.0,-4.5083,29.317,37.5374,27.1092,4795155283.4694,8.5503
2020-11-06,XOM,Energy,26.1006,27.1639,25.6202,25.8171,177123045.0,0.4904,28.7221,37.0179,25.4393,4572803365.0695,6.0252
2020-11-13,XOM,Energy,29.361,30.6428,28.1114,29.0869,220274730.0,12.6652,28.3423,36.5838,38.476,6407109044.037,9.0049
2020-11-20,XOM,Energy,30.3042,31.5417,29.4739,29.7802,141499844.0,2.3835,28.1486,36.1606,38.0047,4213893654.2888,7.0159
2020-11-27,XOM,Energy,30.2317,33.924,30.0543,32.4003,119060059.0,8.7981,28.1758,35.8055,42.2839,3857581629.6177,12.8755
2020-12-04,XOM,Energy,32.0859,33.666,30.6106,33.6015,164978659.0,3.7074,28.3929,35.4537,41.7639,5543530410.3885,9.9816
2020-12-11,XOM,Energy,33.3918,35.8498,32.6017,35.3105,158835563.0,5.0861,28.8735,35.1388,40.0878,5608563147.3115,9.9629
